br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00062152;MSG;GK5494;"AUDI ; SEAT ; SKODA ; VW";"765261-5006S ; 765261-5007S ; 765261-5008S ; 5439 988 0029 ; 5439 988 0048 ; 5439 988 0072 ; 5439 998 0070 ; 03G253010 ; 03G253010V104 ; 03G253014M ; 03G253019KV710 ; 756867-0003 ; 765261-0002 ; 765261-0004 ; 765261-5005S ; 765261-0003 ; 5439-970-0029 ; 5439-970-0072 ; 03G253016H ; 03G257016H ; 765261-0005 ; 5439-970-0031 ; 0382530140Q";Комплект прокладок турбины GARRETT GT1646V / KKK K39 AUDI SEAT SKODA VW;"765261-5006S ; 126138 ; 126138KIT001 ; 126138RED ; 126138SUPERKIT1 ; 900-00170-000 ; WG1131235 ; WG1259112 ; WG1308079 ; TG7568672 ; TG7652612 ; 335736 ; 3722121 ; 660736 ; 660736R ; 166-02580 ; 166-02590 ; 166-02590EOL ; 172-08270 ; 172-08270EOL ; 030TC16138000 ; 030TL16138000 ; 030TM16138000 ; 900160 ; 765261-5007S ; WG1131236 ; 765261-5008S ; WG1131237 ; WG1241678 ; 04-10155-01 ; JTC11482 ; 740.790 ; 2090-505-494 ; 196.390";5;664,00
01-00062124;MSG;GK5190;MERCEDES-BENZ;"704059-5001S ; 720477-5001S ; A6110960299 ; A6110961399 ; 6110961399 ; 6110960299 ; 704059-0001 ; 720477-0001";Комплект прокладок турбины GARRETT GT1746S MERCEDES-BENZ V-CLASS (638/2) 99-03,VITO автобус (638) 99;"704059-5001S ; WG1130874 ; WG1255856 ; TG7040591 ; TG7153831 ; TG7204771 ; 001TC14343000 ; 001TM14343000 ; 124343 ; 124343KIT001 ; 02521979 ; 03451988 ; 08351918 ; 08421994 ; 08581974 ; 08681940 ; WG1307700 ; V30-8214 ; 166-01395 ; 166-01395EOL ; 172-03510 ; 172-03510EOL ; 720477-5001S ; WG1131024 ; 333335 ; 900568 ; HRX243 ; WG1241588 ; 04-10064-01 ; JTC11025 ; 2090-505-190";10;186,00
01-00082026;MSG;GK5228;FORD;"802418-0002 ; 713517-0012 ; 1S4Q-6K682-AL";Комплект прокладок турбины GARRETT GT1749V FORD FOCUS (DAW, DBW) 01-04,FOCUS седан (DFW) 01-04,FOCUS;"2090-505-228 ; JTC11239 ; 04-10056-01";9;427,00
01-00082022;MSG;GK5188;FORD;"1S7Q-6K682-BH ; 704226-0007";Комплект прокладок турбины GARRETT GT1749V FORD MONDEO III (B5Y) 00-07,MONDEO III седан (B4Y) 00-07,;"2090-505-188 ; JTC11023  ; JTC11214 ; 734.820 ; 04-10055-01 ; KT130005";14;535,00
01-00062144;MSG;GK5389;"FORD ; JAGUAR";"714467-5013S ; 714467-5014S ; 714467-9014 ; 752233-5007S ; 758226-5010S ; 1146030 ; 1329268 ; 02C2S51563 ; 2S7Q-6K682-AD ; 714467-0008";Комплект прокладок турбины GARRETT GT1749V FORD MONDEO III (B5Y) 00-07,MONDEO III седан (B4Y) 00-07,;"714467-5013S ; 127001 ; 127001RED ; WG1270979 ; HNX144 ; HRX144 ; TG7144673 ; 333317 ; 3722002 ; 660070 ; 660070R ; 166-05080 ; 166-05085 ; 166-05085EOL ; 166-05090 ; 166-05090EOL ; 166-05095 ; 166-05095EOL ; 166-05100 ; 166-05105 ; 166-05105EOL ; 172-05215 ; 172-05215EOL ; 900328 ; 714467-5014S ; WG1130980 ; WG1308136 ; V25-8136 ; 752233-5007S ; 127817 ; WG1131155 ; WG1308392 ; HRX257 ; TG7522332 ; TG7582264 ; 335739 ; 660739 ; 900341 ; 758226-5010S ; 127938 ; WG1131189 ; WG1308434 ; 335740 ; 900339 ; WG1241579 ; 04-10055-01 ; JTC11387 ; 734.820 ; 2090-505-389";1;819,00
01-00082020;MSG;GK5174;"AUDI ; SKODA ; VW";"03G145702F ; 038145702E ; 758219-0003 ; 717858-0001 ; 717858-0002 ; 717858-0003 ; 717858-0004 ; 717858-0005 ; 717858-5008S ; 717858-9009S ; 717858-5009S ; 717858-0007";Комплект прокладок турбины GARRETT GT1749VA AUDI A4 (8E2, B6) 00-04,A4 (8EC, B7) 04-08,A4 Avant (8E5;"2090-505-174 ; JTC11055 ; 703.980 ; 04-10104-01";7;332,00
01-00062117;MSG;GK5146;"CITROEN ; FIAT ; OPEL ; PEUGEOT ; RENAULT";"454061-5010S ; 5314 988 6444 ; 5314 988 6445 ; 5314 988 6446 ; 49135-05000 ; 49135-05050 ; 312934 ; 7701044612 ; 454061-0007 ; 454061-0008 ; 454061-0009 ; 454061-0006 ; 454061-0011 ; 454061-0012 ; 454061-0010 ; 5314-970-6445 ; 5314-970-6446 ; 99466793 ; 99450703 ; 50032190";Комплект прокладок турбины GARRETT GT1752H CITROEN JUMPER c бортовой платформой/ходовая часть (230);"WG1241571 ; 04-10047-01 ; KT210006 ; 454061-5010S ; 124199 ; WG1129205 ; WG1258220 ; WG1307613 ; HNX113 ; HRX113 ; V46-0142 ; TG45406110 ; TK53149706445 ; 333268 ; 166-09080 ; 166-09081 ; 172-03505 ; 172-03505EOL ; T911222 ; 021TC14199000 ; 021TM14199000 ; 900069 ; JTC11015 ; 714.810 ; 2090-505-146";7;515,00
01-00082035;MSG;GK5433;NISSAN;"14411-2X90A ; 724639-5006S ; 724639-0002";Комплект прокладок турбины GARRETT GT2052V NISSAN PATROL GR II Wagon (Y61) 00-,TERRANO II (R20) 02-;"2090-505-433 ; JTC11422 ; 733.860 ; 04-10066-01";6;332,00
01-00062137;MSG;GK5346;"CITROEN ; FIAT ; IVECO ; PEUGEOT ; RENAULT TRUCKS";"702637-5001S ; 751578-5001S ; 751578-5002S ; 49189-02950 ; 49189-02951 ; 49377-07010 ; 252039 ; 500054682 ; 500054681 ; 504110697";Комплект прокладок турбины GARRETT GT2056S CITROEN JUMPER c бортовой платформой/ходовая часть 06-,JU;"702637-5001S ; 127200 ; WG1319211 ; 751578-5001S ; 127647 ; WG1256914 ; WG1308039 ; WG1319981 ; TG4541262 ; TG7515782 ; TK53039700037 ; TK53039700075 ; TK53039700076 ; TM4937707000 ; TM4937707010 ; 334473 ; 172-02768 ; T912419 ; 008TC16010000 ; 008TM16010000 ; 900535 ; 751578-5002S ; WG1131152 ; HRX256 ; 334828 ; 172-08090 ; 172-08090EOL ; 900522 ; 166-01614 ; 901109 ; JTC11346 ; 04-10078-01 ; 715.620 ; 2090-505-346";1;535,00
01-00062129;MSG;GK5226;"JEEP ; MITSUBISHI ; NISSAN ; RENAULT";"702404-5002S ; 714652-5006S ; 720244-5001S ; 720244-5004S ; 4404326 ; 9112326 ; 7701474347 ; 7701473023 ; 720244-0001 ; 702404-0002 ; 714652-0004 ; 8200100284 ; 8200069567 ; 8200184484";Комплект прокладок турбины GARRETT GT2056S JEEP COMPASS (MK49) 06-,PATRIOT (MK74) 07-;"702404-5002S ; WG1130863 ; TG7024042 ; TG7202441 ; 125225 ; 08851972 ; 08852272 ; WG1307980 ; 334606 ; 166-00415 ; 172-06740 ; 172-06740EOL ; 714652-5006S ; 127427 ; WG1130982 ; TG7146524 ; 334809 ; 660087 ; 172-08190 ; 720244-5001S ; WG1131021 ; 720244-5004S ; WG1131023 ; HNX137 ; HRX137 ; 660128 ; 900394 ; JTC11238 ; 04-10124-01 ; 470.580 ; 2090-505-226";1;834,00
