br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00029616;MSG;ME018ROTORD;"AUDI ; BMW ; LAND ROVER ; MAYBACH ; MERCEDES-BENZ";;Ротор, статор и пластины насоса ГУР AUDI,BMW,LAND ROVER,MAYBACH,MERCEDES-BENZ;;2;1 354,00
01-00028472;MSG;VW001ROTOR1;"AUDI ; BMW ; FORD ; JAGUAR ; MAYBACH ; MERCEDES-BENZ ; OPEL ; SKODA ; VW ; LIFAN";;Ротор, статор и пластины насоса ГУР AUDI,BMW,MAYBACH,MERCEDES-BENZ,OPEL,VW;;3;1 151,00
01-00028458;MSG;AU001ROTOR;"AUDI ; BMW ; OPEL ; VW";;Ротор, статор и пластины насоса ГУР AUDI,BMW,OPEL,VW;7681860134;5;1 354,00
01-00026229;MSG;VW021ROTOR;"AUDI ; CITROEN ; FIAT ; FORD ; KIA ; MAZDA ; MITSUBISHI ; PEUGEOT ; VW";;Ротор, статор и пластины насоса ГУР AUDI,CITROEN,FIAT,FORD,MAZDA,MITSUBISHI,VW;;1;1 354,00
01-00026227;MSG;VW006ROTOR;"AUDI ; CITROEN ; FIAT ; FORD ; MAZDA ; MERCEDES-BENZ ; PEUGEOT ; PORSCHE ; VW";;Ротор, статор и пластины насоса ГУР AUDI,CITROEN,FIAT,FORD,MAZDA,PORSCHE,VW;;7;1 422,00
01-00041325;MSG;VW025ROTOR;"AUDI ; FORD ; LAND ROVER ; VOLVO ; VW";;Ротор, статор и пластины насоса ГУР AUDI,FORD,LAND ROVER,VW;;7;2 235,00
01-00055743;MSG;BW007ROTORST;BMW;;Ротор, статор и пластины насоса ГУР BMW;;1;2 370,00
01-00026228;MSG;VW001ROTOR;"ALFA ROMEO ; AUDI ; BMW ; CITROEN ; FIAT ; FORD ; JAGUAR ; LANCIA ; LAND ROVER ; MERCEDES-BENZ ; OPEL ; PEUGEOT ; SEAT ; SKODA ; VOLVO ; VW ; ZAZ ; CHERY ; LIFAN";;Ротор, статор и пластины насоса ГУР CHERY,ALFA ROMEO,AUDI,BMW,CITROEN,FIAT,FORD,LANCIA,MERCEDES-BENZ;;2;1 151,00
01-00026226;MSG;TY001ROTOR;"CHEVROLET ; FORD ; LEXUS ; OPEL ; TOYOTA";"44325-02210 ; 44325-02220 ; 44325-02230 ; 44325-02240 ; 44325-02250 ; 44313-02110 ; 44313-02120 ; 44313-02130 ; 44313-02140 ; 44313-02150 ; 4431332100";Ротор, статор и пластины насоса ГУР CHEVROLET,FORD,LEXUS,OPEL,TOYOTA;;6;1 490,00
01-00055146;MSG;TY003ROTOR;"CHRYSLER ; DODGE ; LEXUS ; NISSAN ; RENAULT ; TOYOTA";"44325-06050 ; 44325-06010 ; 44325-06040 ; 44325-06020 ; 44325-32270 ; 44325-32280 ; 44325-32290 ; 44325-32300 ; 44325-32310 ; 44313-06010 ; 44313-06020 ; 44313-06030 ; 44313-06040 ; 44313-06050 ; 44313-26060 ; 44313-26070 ; 44313-26080 ; 44313-26090 ; 44313-26100 ; 4432532200";Ротор, статор и пластины насоса ГУР CHRYSLER,DODGE,LEXUS,NISSAN,RENAULT,TOYOTA;;3;1 354,00
01-00028467;MSG;FO001ROTOR;"FORD ; FORD USA ; MAZDA";;Ротор, статор и пластины насоса ГУР FORD,FORD USA,MAZDA;;1;1 151,00
